Price;Up or Down;Volume
15.935;1.0;6369860.0
15.76;-1.0;5519733.0
15.735;-1.0;5709738.0
15.99;1.0;3845771.0
15.725;-1.0;3439957.0
15.955;1.0;3837486.0
16;1.0;5245289.0
15.8;-1.0;5920722.0
15.38;-1.0;9590004.0
15.45;1.0;4318770.0
15.745;1.0;5380903.0
15.57;-1.0;2683203.0
15.145;-1.0;7794091.0
15.535;1.0;7379544.0
15.84;1.0;8321869.0
15.46;-1.0;9813368.0
16.095;1.0;12300000.0
16.31;1.0;10900000.0
16.29;-1.0;6047608.0
